Referred a Friend,Number of Referrals,Tenure in Months,Phone Service,Multiple Lines,Internet Service,Internet Type,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Regular Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Under 30,Gender,Senior Citizen,Married,Dependents,Number of Dependents
No,0,11,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,76.44,791.75,0,261,427.68,No,Male,No,No,No,0
No,0,1,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,72.748,69.95,0,0,13.04,Yes,Female,No,No,No,0
No,0,5,Yes,No,Yes,DSL,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,72.852,346.4,0,0,71.3,No,Male,No,No,No,0
No,0,8,Yes,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,97.76,773.65,0,116,191.12,No,Male,No,No,No,0
Yes,1,22,Yes,No,Yes,DSL,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,63.596,1422.05,0,0,945.56,Yes,Female,No,Yes,Yes,3
No,0,29,Yes,Yes,Yes,DSL,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,87.828,2467.1,0,0,822.73,No,Male,No,Yes,No,0
Yes,1,13,Yes,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Credit Card,78.312,989.45,0,891,535.86,Yes,Male,No,Yes,No,0
No,0,3,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,19.6,59.75,0,0,39.84,No,Female,No,No,No,0
No,0,62,Yes,Yes,Yes,Cable,Yes,Yes,No,Yes,No,Yes,Yes,No,One Year,No,Bank Withdrawal,106.08,6529.25,0,1502,500.96,No,Male,No,No,No,0
Yes,1,17,Yes,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,No,No,Month-to-Month,No,Credit Card,93.808,1454.15,0,145,205.02,No,Male,No,Yes,No,0
Yes,1,56,Yes,Yes,No,None,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,25.15,1327.15,0,0,739.2,Yes,Male,No,Yes,No,0
No,0,31,Yes,Yes,Yes,Cable,No,No,No,Yes,No,No,No,No,Month-to-Month,Yes,Credit Card,83.044,2404.15,0,313,515.53,No,Female,No,No,No,0
No,0,2,Yes,No,Yes,DSL,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,51.584,114.7,0,33,42.56,Yes,Female,No,No,No,0
No,0,3,Yes,Yes,Yes,Cable,No,No,Yes,No,No,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,95.524,257.05,0,59,131.16,No,Male,No,No,No,0
Yes,1,1,No,No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,41.704,40.1,0,0,0,No,Female,No,Yes,Yes,2
No,0,14,Yes,No,Yes,Cable,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Credit Card,93.392,1129.1,0,361,144.2,No,Female,No,No,No,0
Yes,1,35,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,No,No,Month-to-Month,No,Bank Withdrawal,75.14,2568.55,0,2312,884.45,Yes,Female,No,Yes,Yes,2
No,0,7,No,No,Yes,Cable,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,41.704,293.3,0,6.16,0,No,Female,No,No,No,0
No,0,1,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,No,No,No,Month-to-Month,No,Bank Withdrawal,82.732,79.55,0,0,32.13,No,Female,No,No,No,0
No,0,32,Yes,Yes,Yes,DSL,No,No,No,No,Yes,No,No,Yes,One Year,No,Bank Withdrawal,87.412,2781.85,0,0,1288.32,No,Female,No,No,No,0
No,0,1,Yes,No,Yes,DSL,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,92.664,89.1,0,0,16.06,No,Male,No,No,No,0
Yes,1,17,Yes,Yes,Yes,Cable,Yes,No,Yes,No,Yes,No,No,No,Month-to-Month,No,Bank Withdrawal,98.176,1607.2,0,209,438.43,No,Female,No,Yes,No,0
No,0,19,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.38,1490.95,0,0,384.94,No,Male,No,No,No,0
No,0,1,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,19.1,19.1,0,0,34.79,No,Female,No,No,No,0
No,0,1,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,77.896,74.9,0,0,35.25,Yes,Female,No,No,No,0
No,0,3,No,No,Yes,DSL,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,25.74,66.95,0,13,0,No,Male,No,No,No,0
Yes,1,2,Yes,No,Yes,DSL,No,Yes,Yes,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,82.888,165,0,48,57.72,Yes,Female,No,Yes,No,0
Yes,1,55,Yes,No,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,No,No,Two Year,No,Bank Withdrawal,59.852,3046.4,0,1615,484,Yes,Male,No,Yes,No,0
Yes,3,21,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,89.96,1808.7,0,579,886.62,No,Female,No,Yes,No,0
Yes,1,69,Yes,Yes,Yes,Cable,No,Yes,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,108.108,7446.9,0,2234,2566.8,No,Female,No,Yes,No,0
No,0,39,No,No,Yes,Cable,Yes,Yes,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,50.908,1880.85,0,0,0,Yes,Male,No,No,No,0
Yes,1,6,Yes,No,Yes,DSL,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Credit Card,86.892,477.55,0,33,161.46,No,Male,No,Yes,No,0
No,0,1,Yes,No,Yes,Cable,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,73.268,70.45,0,0,42.87,No,Male,No,No,No,0
Yes,1,58,Yes,No,Yes,Cable,Yes,Yes,Yes,No,No,No,No,No,One Year,No,Credit Card,62.712,3563.8,0,820,998.76,No,Male,No,Yes,No,0
No,0,1,No,No,Yes,Fiber Optic,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,25.74,24.75,0,0,0,No,Male,No,No,Yes,3
Yes,1,19,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,107.432,2012.7,0,483,532.76,No,Male,No,Yes,No,0
No,0,3,Yes,No,Yes,Cable,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.64,242.05,0,0,95.64,No,Male,No,No,No,0
No,0,3,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.85,63.75,0,0,77.25,Yes,Female,No,No,No,0
No,0,15,Yes,Yes,Yes,Cable,No,Yes,No,Yes,No,No,No,No,Month-to-Month,Yes,Credit Card,60.944,939.7,0,611,221.85,Yes,Male,No,No,No,0
Yes,1,10,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,102.44,1037.75,0,208,10.9,No,Male,No,Yes,No,0
No,0,1,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,52.468,50.45,0,0,23.7,No,Female,No,No,No,0
Yes,1,38,Yes,Yes,Yes,Cable,No,Yes,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,98.436,3624.3,0,1196,1888.6,Yes,Male,No,Yes,No,0
No,0,1,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Credit Card,104.26,100.25,0,0,20.23,No,Female,No,No,No,0
No,0,16,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,91.988,1422.1,0,85,284.8,No,Female,No,No,No,0
No,0,1,Yes,No,Yes,Cable,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,72.644,69.85,0,0,12.13,No,Male,No,No,No,0
No,0,12,Yes,No,Yes,Cable,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,84.968,858.6,0,0,220.56,No,Male,No,No,No,0
No,0,4,Yes,No,Yes,DSL,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,83.096,324.3,0,0,172.24,Yes,Male,No,No,No,0
No,0,15,Yes,Yes,No,None,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,25.4,399.6,0,0,687.6,Yes,Female,No,No,No,0
No,0,1,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,20.9,20.9,0,0,15.73,Yes,Female,No,No,No,0
Yes,1,1,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,72.176,69.4,0,0,33.46,No,Female,No,Yes,No,0
No,0,7,Yes,Yes,Yes,DSL,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,77.896,541.15,0,152,327.53,No,Female,No,No,No,0
No,0,1,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,72.904,70.1,0,0,46.17,No,Female,No,No,No,0
No,0,12,Yes,Yes,Yes,DSL,Yes,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,81.432,909.25,0,255,429.6,No,Female,No,No,No,0
No,0,55,Yes,Yes,Yes,Cable,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,100.672,5283.95,0,1691,2605.9,No,Male,No,No,No,0
No,0,17,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,98.176,1617.5,0,404,370.94,No,Female,No,No,No,0
No,0,1,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,No,Month-to-Month,No,Bank Withdrawal,87.672,84.3,0,0,1.63,Yes,Female,No,No,No,0
Yes,1,1,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.95,19.95,0,0,8.03,No,Male,No,Yes,Yes,3
Yes,1,23,Yes,Yes,Yes,Cable,Yes,Yes,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,103.22,2186.4,0,175,441.6,No,Male,No,Yes,No,0
No,0,39,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,No,No,No,No,Two Year,Yes,Bank Withdrawal,83.668,3201.55,0,960,953.55,No,Female,No,No,No,0
Yes,1,9,Yes,Yes,Yes,Cable,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,82.524,661.25,0,0,285.03,No,Male,No,Yes,No,0
No,0,15,Yes,Yes,Yes,DSL,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,82.94,1111.85,0,256,642.45,No,Female,No,No,No,0
Yes,1,30,Yes,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,104.052,3046.15,0,731,1192.2,No,Female,No,Yes,No,0
No,0,1,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,72.124,69.35,0,0,45.86,No,Male,No,No,No,0
No,0,3,Yes,No,Yes,Fiber Optic,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,89.232,272.2,0,0,31.8,Yes,Female,No,No,No,0
No,0,67,Yes,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,82.888,5293.4,0,0,2865.59,No,Male,No,Yes,No,0
Yes,1,1,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,83.772,80.55,0,0,43.67,Yes,Male,No,Yes,No,0
Yes,1,12,Yes,Yes,Yes,Cable,No,Yes,Yes,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,87.88,916.9,0,0,487.56,Yes,Female,No,Yes,No,0
No,0,22,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,87.672,1855.65,0,0,639.54,Yes,Female,No,No,No,0
No,0,2,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,70.46,116.65,0,5,23.5,No,Male,No,No,No,0
No,0,10,Yes,Yes,Yes,DSL,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,83.252,830.7,0,91,497,No,Female,No,No,No,0
No,0,1,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,20,20,0,0,46.77,No,Male,No,No,No,0
No,0,22,Yes,No,Yes,Cable,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,50.752,1054.6,0,34.8,86.9,No,Female,No,No,No,0
Yes,1,21,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,106.912,2110.15,0,63,350.07,No,Female,No,Yes,No,0
No,0,6,Yes,No,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,103.948,547.65,0,0,30.96,Yes,Female,No,No,No,0
Yes,1,72,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,122.512,8684.8,0,0,2510.64,No,Male,No,Yes,No,0
Yes,1,3,Yes,Yes,Yes,Cable,No,No,No,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,82.836,251.75,0,48,129.81,No,Male,No,Yes,No,0
No,0,8,Yes,No,Yes,DSL,No,No,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,98.488,740.3,0,81,155.92,No,Male,No,No,No,0
No,0,5,Yes,Yes,Yes,Cable,No,No,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,96.2,452.7,0,127,16.25,No,Male,No,No,No,0
Yes,1,1,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.45,19.45,0,0,28.73,No,Female,No,Yes,Yes,2
No,0,2,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,78.572,166.3,0,52,82.74,No,Female,No,No,No,0
Yes,1,1,Yes,No,Yes,DSL,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,72.8,70,0,0,38.8,No,Male,No,Yes,No,0
Yes,1,65,Yes,No,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,77.792,4820.15,0,1591,2630.55,No,Male,No,Yes,No,0
Yes,1,33,Yes,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,108.576,3409.6,0,443,373.56,No,Female,No,Yes,No,0
No,0,15,Yes,No,Yes,DSL,Yes,No,No,No,Yes,No,Yes,No,Month-to-Month,No,Bank Withdrawal,89.648,1270.2,0,826,300.45,Yes,Female,No,No,No,0
Yes,1,30,No,No,Yes,Cable,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,No,Credit Card,53.248,1561.5,0,203,0,No,Female,No,Yes,Yes,2
No,0,2,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.5,31.55,0,0,56.04,Yes,Female,No,No,No,0
No,0,2,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,77.896,147.15,0,29,76.56,No,Female,No,No,No,0
No,0,25,Yes,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,104.26,2387.75,0,72,906,No,Female,No,No,No,0
No,0,43,Yes,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,104,4211.55,0,1053,1692.91,No,Male,No,No,No,0
Yes,5,10,Yes,No,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,103.844,990.9,0,0,432.8,No,Male,No,Yes,No,0
No,0,2,Yes,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,97.968,193.8,0,0,85.78,No,Female,No,No,No,0
No,0,69,Yes,No,Yes,Cable,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,108.212,7262,0,1888,173.88,No,Male,No,No,No,0
Yes,7,22,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,98.488,1914.9,0,0,831.6,No,Male,No,Yes,No,0
No,0,1,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,46.228,44.45,0,0,48.31,No,Female,No,No,No,0
No,0,36,Yes,Yes,Yes,DSL,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,88.296,3067.2,0,736,887.76,No,Male,No,No,No,0
No,0,1,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,20.25,20.25,0,0,23.16,No,Male,No,No,No,0
No,0,1,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,77.324,74.35,0,0,4.8,No,Male,No,No,No,0
No,0,1,Yes,Yes,Yes,DSL,No,No,Yes,Yes,No,No,No,No,Month-to-Month,No,Mailed Check,64.532,62.05,0,0,47.83,No,Male,No,No,No,0
Yes,1,39,Yes,No,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,No,One Year,No,Credit Card,83.2,3182.95,0,318,1392.3,No,Male,No,Yes,No,0
No,0,5,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,No,Month-to-Month,No,Mailed Check,108.264,541.9,0,49,194.45,No,Male,No,No,No,0
No,0,2,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.56,162.45,0,0,34.44,No,Male,No,No,No,0
No,0,5,Yes,No,Yes,Fiber Optic,No,No,No,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,51.168,216.9,0,43,36.55,No,Male,No,No,No,0
No,0,11,Yes,Yes,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,23.15,245.2,0,0,340.01,No,Male,No,No,No,0
Yes,1,4,Yes,No,Yes,Cable,No,No,No,No,No,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,84.084,302.75,0,197,177.12,Yes,Female,No,Yes,No,0
No,0,1,Yes,Yes,Yes,DSL,No,Yes,No,Yes,No,No,No,No,Month-to-Month,No,Mailed Check,62.504,60.1,0,0,23.63,Yes,Male,No,No,No,0
No,0,1,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,82.108,78.95,0,0,23.96,No,Male,No,No,No,0
No,0,2,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,46.956,98.5,0,2.27,12.94,No,Male,No,No,No,0
No,0,3,Yes,No,Yes,Cable,No,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,82.576,244.65,0,206,139.8,Yes,Female,No,No,No,0
No,0,44,No,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,56.108,2375.4,0,0,0,No,Male,No,No,No,0
No,0,24,Yes,No,Yes,Cable,No,Yes,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Credit Card,103.272,2431.35,0,754,1079.04,No,Female,No,Yes,No,0
No,0,18,Yes,Yes,Yes,Cable,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,83.876,1451.9,0,116,699.66,No,Male,No,No,No,0
No,0,1,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,73.944,71.1,0,0,10.19,No,Female,No,No,No,0
Yes,1,53,Yes,No,No,None,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,20.8,1021.8,0,0,2006.05,Yes,Female,No,Yes,No,0
No,0,4,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,47.84,193.6,0,0,60.28,No,Female,No,No,No,0
No,0,9,Yes,No,Yes,Cable,No,Yes,No,Yes,Yes,No,No,No,Month-to-Month,No,Mailed Check,68.9,620.55,0,472,223.29,Yes,Female,No,No,No,0
No,0,22,Yes,Yes,Yes,Cable,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.6,1993.8,0,0,268.18,No,Female,No,No,No,0
No,0,38,Yes,No,Yes,Cable,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,73.268,2597.6,0,494,1280.98,No,Male,No,No,No,0
No,0,53,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,19.75,1052.35,0,0,1389.13,No,Male,No,No,No,0
No,0,1,Yes,No,Yes,Cable,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,56.108,53.95,0,0,31.16,No,Male,No,No,No,0
No,0,16,Yes,No,Yes,DSL,No,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,84.24,1312.15,0,171,206.72,No,Female,No,No,No,0
Yes,1,1,Yes,No,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,72.592,69.8,0,0,11.08,No,Female,No,Yes,No,0
No,0,5,Yes,Yes,Yes,Cable,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,97.656,486.85,0,0,232.25,No,Female,No,No,No,0
Yes,1,31,Yes,Yes,Yes,Cable,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.796,2995.45,0,419,1198.77,No,Female,No,Yes,No,0
No,0,2,Yes,No,Yes,Cable,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,73.788,137.95,0,40,30.66,No,Female,No,No,No,0
Yes,1,37,Yes,Yes,Yes,Cable,No,No,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,103.48,3762,0,1129,1342.73,Yes,Female,No,Yes,No,0
No,0,38,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Month-to-Month,Yes,Credit Card,87.256,3233.6,0,0,1374.84,Yes,Female,No,No,No,0
No,0,10,Yes,No,Yes,Cable,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,108.576,1081.45,0,2.16,83.8,No,Male,No,No,No,0
No,0,2,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,46.436,74.9,0,9,49.8,No,Male,No,No,No,0
No,0,3,No,No,Yes,DSL,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,26.26,58.9,0,18,0,No,Female,No,No,No,0
No,0,4,Yes,Yes,Yes,Cable,No,Yes,Yes,No,No,No,Yes,No,Month-to-Month,No,Bank Withdrawal,87.412,333.55,0,253,166.88,Yes,Female,No,No,No,0
No,0,1,Yes,No,Yes,Cable,No,Yes,No,No,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,77.688,74.7,0,0,44.11,Yes,Female,No,No,No,0
No,0,5,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.432,455.5,0,0,7.45,Yes,Female,No,No,No,0
No,0,30,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,No,Bank Withdrawal,88.764,2530.4,0,101,1290.3,No,Female,No,No,No,0
No,0,1,No,No,Yes,Cable,No,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,37.18,35.75,0,0,0,No,Female,No,No,No,0
Yes,1,17,Yes,No,Yes,Fiber Optic,Yes,No,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,92.976,1539.45,0,369,326.23,No,Male,No,Yes,No,0
No,0,3,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,19.8,58.15,0,0,45.36,No,Male,No,No,No,0
Yes,1,4,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,52.936,225.6,0,142,34.32,No,Male,No,Yes,Yes,3
No,0,4,Yes,No,Yes,Cable,No,No,No,No,Yes,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,84.24,340.85,0,222,86.48,Yes,Male,No,No,No,0
No,0,26,Yes,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,102.284,2515.3,0,755,1044.42,No,Male,No,No,No,0
No,0,5,No,No,Yes,DSL,No,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Mailed Check,53.04,305.95,0,199,0,Yes,Male,No,No,No,0
Yes,1,4,Yes,Yes,Yes,DSL,No,Yes,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,95.316,365.4,0,55,87.24,No,Female,No,Yes,No,0
No,0,1,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.484,90.85,0,0,1.13,No,Male,No,No,No,0
No,0,1,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,72.176,69.4,0,0,38.53,No,Male,No,No,No,0
Yes,1,1,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,20.15,20.15,0,0,3.09,No,Female,No,Yes,Yes,1
No,0,26,Yes,Yes,Yes,DSL,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,77.948,1834.95,0,294,455.78,No,Female,No,No,No,0
No,0,6,No,No,Yes,DSL,No,No,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,49.868,305.1,0,238,0,Yes,Female,No,No,No,0
No,0,3,Yes,Yes,Yes,Cable,No,No,No,Yes,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,66.144,155.65,0,44,10.92,No,Female,No,No,No,0
No,0,3,No,No,Yes,Fiber Optic,No,Yes,No,Yes,No,No,No,No,Month-to-Month,Yes,Mailed Check,38.324,108.7,0,25,0,No,Male,No,No,No,0
